"TF","TargetGene","Score"
"AT2G40950","AT4G27657",0.420336722846698
"AT2G21230","AT1G31320",0.414773768305123
"AT2G46510","AT3G48260",0.332643525831362
"AT4G02640","AT4G27657",0.32492759827084
"AT3G06590","AT4G28720",0.316524348099489
"AT3G24140","AT5G08130",0.296712082421945
"AT3G24140","AT3G58640",0.28780510960355
"AT2G47270","AT4G28720",0.280975436893504
"AT3G56850","AT3G53450",0.278774317019456
"AT5G08130","AT3G24140",0.272631805458131
"AT1G61660","AT4G28703",0.257068728442609
"AT5G44080","AT4G28720",0.244027697776608
"AT5G46690","AT5G59590",0.237156782666944
"AT2G46810","AT3G58980",0.227230047696871
"AT2G22850","AT5G05250",0.226135751042668
"AT4G16430","AT4G28703",0.225801484306665
"AT3G23690","AT3G47540",0.225229502373434
"AT3G24140","AT2G39810",0.224140982795454
"AT3G17100","AT3G59220",0.223595182658779
"AT3G19290","AT3G21870",0.222851094179154
"AT5G48560","AT1G32690",0.222630974193661
"AT3G06590","AT3G47540",0.222344855389356
"AT3G62090","AT2G23590",0.218449539822385
"AT2G31370","AT5G56100",0.217665195829144
"AT2G46510","AT3G51960",0.211955519483419
"AT5G48560","AT2G22770",0.211934609292019
"AT2G42280","AT1G33750",0.210779342520204
"AT1G35460","AT2G22770",0.210441511062676
"AT4G02640","AT1G79410",0.208641006231309
"AT4G35040","AT3G50850",0.207162926996178
"AT4G30180","AT3G18950",0.206186294701277
"AT5G53210","AT4G02360",0.202548122127385
"AT1G43700","AT1G31320",0.200535150541388
"AT4G14410","AT2G26040",0.199073860680106
"AT5G06960","AT3G50850",0.198562874246003
"AT3G24140","AT5G60890",0.192470460337256
"AT5G28770","AT1G32690",0.189818149691457
"AT5G08130","AT1G32690",0.18681137517214
"AT2G41070","AT5G56100",0.186055709184616
"AT3G61950","AT3G51750",0.180423603090131
"AT3G06590","AT2G22770",0.177472845428348
"AT1G51070","AT4G35783",0.177219908232988
"AT5G08130","AT3G21870",0.175678304079628
"AT5G51790","AT5G16340",0.174512659395443
"AT1G32640","AT3G51960",0.174029501348506
"AT1G51140","AT5G51780",0.170219575414846
"AT3G26744","AT4G28703",0.170015126104441
"AT1G45249","AT5G51780",0.16817613637774
"AT4G35040","AT2G04100",0.166029841905026
"AT5G06950","AT4G35783",0.165231428554572
"AT4G16430","AT3G53450",0.16413950652824
"AT5G11260","AT3G53450",0.163178629106711
"AT3G57800","AT2G35930",0.16163578341803
"AT3G24140","AT4G05010",0.160909785345222
"AT4G16430","AT2G01430",0.159706349221583
"AT3G24140","AT5G58440",0.154823204256476
"AT3G24140","AT1G10610",0.154615350091161
"AT3G17100","AT3G48260",0.154314551324588
"AT2G27230","AT4G35783",0.152819705873419
"AT4G16430","AT3G45730",0.151813665883836
"AT3G24140","AT4G16660",0.149071588837217
"AT4G38900","AT5G60890",0.145431575416295
"AT5G38860","AT5G59080",0.143518464392107
"AT2G43010","AT4G35783",0.142940344137511
"AT4G14410","AT5G05250",0.142711119649017
"AT3G17100","AT1G65690",0.142397828719453
"AT1G51140","AT2G23590",0.141652249668951
"AT5G57150","AT2G23590",0.140476404904449
"AT4G09180","AT5G59590",0.139133998043813
"AT5G11260","AT1G76570",0.138679632183373
"AT5G39860","AT5G07010",0.138327222121455
"AT2G20180","AT3G50850",0.137842237255581
"AT5G67110","AT1G27730",0.13599811078103
"AT4G00050","AT3G21870",0.13595646979601
"AT4G30980","AT5G51790",0.135215109065592
"AT4G00480","AT5G26200",0.135004587486763
"AT5G46760","AT5G61270",0.13446523909107
"AT1G06850","AT2G35930",0.133686388364018
"AT2G31730","AT1G35430",0.133289895582471
"AT5G08130","AT5G50240",0.132058074981782
"AT5G53210","AT5G26200",0.130370467774591
"AT5G08130","AT1G11220",0.129951969387218
"AT1G19490","AT5G51790",0.129733395153323
"AT2G31730","AT5G56100",0.129593463056655
"AT5G28770","AT1G65690",0.128415260900972
"AT1G68920","AT5G60890",0.127746409246837
"AT3G24140","AT1G20490",0.126934176913048
"AT2G31370","AT2G35930",0.125934223318241
"AT1G03970","AT1G15170",0.124523768038505
"AT1G27660","AT5G19040",0.123393136586092
"AT3G24140","AT1G62310",0.123283064703678
"AT3G24140","AT4G24480",0.123151847680071
"AT2G41070","AT1G35430",0.122277703621303
"AT2G40620","AT3G51960",0.120813050182557
"AT4G09180","AT5G58770",0.120511617260755
"AT4G36730","AT3G59220",0.12024967617633
"AT5G48560","AT1G27730",0.120148659725887
"AT5G49450","AT3G45730",0.119584220023125
"AT1G32640","AT3G21870",0.119424314272195
"AT2G31370","AT3G18950",0.118792991327613
"AT3G54620","AT3G51750",0.118576101725063
"AT5G67110","AT3G15357",0.118255000066342
"AT3G19860","AT5G19040",0.118173772621597
"AT3G05800","AT2G26040",0.118103855331119
"AT5G39860","AT1G05600",0.117892300385284
"AT1G05710","AT4G27657",0.117115257700895
"AT4G36540","AT2G38465",0.116753514552616
"AT3G54620","AT5G07860",0.11673959753553
"AT3G24140","AT3G51670",0.116419521575784
"AT5G08130","AT3G50800",0.11627583948127
"AT4G30180","AT5G59080",0.115385826732114
"AT5G08130","AT3G58640",0.114967906534237
"AT1G05805","AT5G19040",0.114861994126638
"AT1G03970","AT2G35930",0.114545541036156
"AT2G31730","AT5G58770",0.114445992164491
"AT1G42990","AT2G35930",0.114230078000133
"AT4G02640","AT3G59220",0.114158289039362
"AT4G00050","AT5G17650",0.113476496326349
"AT1G09530","AT1G79410",0.113462866220236
"AT1G59640","AT5G15160",0.112476237359121
"AT2G20180","AT2G20480",0.11236814211627
"AT3G12250","AT5G19040",0.112318998855853
"AT1G10610","AT3G24140",0.112127704707838
"AT3G23210","AT2G04100",0.110989833457588
"AT3G24140","AT3G49260",0.110067374652498
"AT1G29950","AT3G15950",0.109723859322733
"AT5G57150","AT4G35783",0.10970987665339
"AT4G00050","AT3G58980",0.109464658750663
"AT1G32640","AT3G45680",0.109372511825776
"AT2G16770","AT5G19875",0.109126946299654
"AT2G42380","AT2G22470",0.109083934947482
"AT3G17100","AT4G11330",0.108858779184295
"AT4G35040","AT5G51790",0.108246252829999
"AT5G24800","AT5G59590",0.107043137901783
"AT3G61950","AT3G45730",0.106564431090168
"AT3G23690","AT5G59590",0.106485353397781
"AT3G20640","AT3G20340",0.106193837030676
"AT3G24140","AT5G19040",0.106103260078847
"AT4G16430","AT4G32272",0.10569789358749
"AT3G26744","AT1G75770",0.105044479092421
"AT4G30180","AT5G05250",0.105012064829085
"AT2G21230","AT1G33750",0.104938862599064
"AT2G42300","AT5G07010",0.104389525052356
"AT2G47270","AT2G26040",0.103835530247645
"AT4G36730","AT1G77450",0.103565859363116
"AT3G58120","AT1G32690",0.103423487452927
"AT4G01460","AT3G58980",0.103418508670769
"AT3G26744","AT5G66350",0.103232147331138
"AT4G16430","AT5G19875",0.102895594801572
"AT3G24140","AT1G62590",0.102708792900504
"AT5G08130","AT3G02980",0.102542330345297
"AT1G09250","AT3G03170",0.102426757263052
"AT3G24140","AT2G46800",0.102016605013114
"AT1G22070","AT5G07010",0.101941322036508
"AT1G59640","AT2G22770",0.10190118220231
"AT3G17100","AT3G62090",0.101770843028975
"AT1G43700","AT2G26040",0.101695251044926
"AT1G26260","AT5G51790",0.101428596284009
"AT3G61950","AT5G53030",0.101046345578614
"AT5G65640","AT3G51960",0.100813358408422
"AT3G26744","AT5G23820",0.100229473235789
"AT1G06070","AT3G44320",0.0995620525495052
"AT3G24140","AT1G15175",0.0993483478790638
"AT3G17100","AT3G12300",0.0989727328341842
"AT3G23210","AT2G35170",0.0989229996664756
"AT5G28770","AT1G11220",0.0988344255437232
"AT5G54680","AT1G33750",0.0985881717303563
"AT2G40620","AT4G36060",0.0981546669160437
"AT5G62610","AT3G15950",0.0977487503306672
"AT2G42280","AT1G49780",0.0977113595788282
"AT5G06960","AT1G73830",0.0976192431119947
"AT5G44080","AT4G35783",0.097507340142633
"AT1G29950","AT5G07010",0.0969232746321551
"AT1G49720","AT4G02360",0.0968226421629575
"AT3G20640","AT5G19875",0.0964669716288012
"AT2G31370","AT4G23600",0.0962033582732527
"AT2G16770","AT3G55240",0.0960027628529243
"AT3G17100","AT1G79410",0.0959696350907854
"AT5G53210","AT1G65690",0.0958559222153885
"AT4G38900","AT3G53450",0.0957084937613667
"AT2G46810","AT3G15950",0.0956496945880728
"AT1G19490","AT3G15357",0.0951982014776591
"AT4G16430","AT2G23590",0.0948596999468358
"AT4G30980","AT3G09490",0.0946504442293088
"AT3G17100","AT5G53030",0.0938590742366684
"AT3G59060","AT2G23348",0.0937700391180737
"AT2G43010","AT5G05850",0.0937694042290025
"AT4G02590","AT1G64890",0.0934857518672239
"AT2G41070","AT1G33750",0.0933371230255517
"AT1G27660","AT1G79410",0.0928389338344977
"AT4G09180","AT5G60890",0.0925723457071183
"AT1G42990","AT3G47780",0.0922938518251381
"AT1G05805","AT2G38465",0.0921756275928584
"AT3G24140","AT3G03680",0.0920744883672236
"AT3G24140","AT4G15120",0.0920534617010351
"AT1G32150","AT3G22670",0.0918325242761064
"AT3G54620","AT5G56100",0.0918000962431413
"AT2G27230","AT2G01430",0.0917476019632781
"AT4G34000","AT1G32690",0.0916104126968981
"AT3G57800","AT2G23348",0.0905955396273977
"AT1G05805","AT1G64890",0.0905900089498893
"AT4G38900","AT1G33750",0.090517091392814
"AT5G08130","AT1G65690",0.0905081819316838
"AT4G30410","AT1G75770",0.0904478204597269
"AT1G05805","AT3G02980",0.0902377167346894
"AT1G03040","AT5G19040",0.0901945014739601
"AT2G13130","AT5G51780",0.0901182250351135
"AT5G24800","AT1G27730",0.0894943637939109
"AT5G08130","AT5G07010",0.0894861766219264
"AT1G05805","AT1G15175",0.0893762939683402
"AT5G46690","AT5G26200",0.089159227659061
"AT1G69010","AT4G28703",0.0890275953779729
"AT1G19490","AT3G09490",0.0889821087695152
"AT4G34000","AT2G23590",0.0888411682123665
"AT4G35040","AT3G59220",0.088745999985891
"AT1G32150","AT1G73830",0.0887272807353246
"AT5G38860","AT5G26200",0.0885825725024682
"AT3G06590","AT5G11260",0.0885558065520079
"AT3G24140","AT3G05030",0.0883458526514971
"AT3G58120","AT5G50240",0.0882005563765171
"AT2G22850","AT1G60270",0.0879747512179234
"AT3G17100","AT1G31320",0.0878614676859931
"AT3G26744","AT3G20340",0.0878303899416288
"AT4G09180","AT5G15160",0.0878159064606358
"AT3G23210","AT3G57860",0.087413353571301
"AT5G38860","AT1G11220",0.0873455855312559
"AT1G68920","AT3G11840",0.0872167394066289
"AT4G02590","AT4G36060",0.0869436108299312
"AT1G29950","AT1G68620",0.0869173765161014
"AT2G22770","AT1G06620",0.0868621392214103
"AT3G57800","AT4G01670",0.0864901480912879
"AT4G30410","AT4G18360",0.0859983573893864
"AT1G51140","AT5G63500",0.0859478525934243
"AT3G61950","AT5G19875",0.0857694824910923
"AT5G62610","AT5G59590",0.0852796085863353
"AT3G56850","AT5G53030",0.0848396659805383
"AT4G38900","AT1G65690",0.08427964004876
"AT4G17880","AT5G56180",0.0842056808850346
"AT1G45249","AT2G21080",0.0839899397947566
"AT4G17880","AT2G37750",0.0838382125172582
"AT4G30410","AT3G59220",0.0838255379831641
"AT5G44080","AT3G47540",0.0838007960170569
"AT1G45249","AT5G51790",0.0835229911006218
"AT3G59060","AT5G51780",0.0832719373457854
"AT5G46690","AT3G02980",0.0831259158328971
"AT3G24140","AT1G09210",0.0830807377829416
"AT1G10610","AT2G26040",0.0830290359876025
"AT2G40950","AT3G26750",0.0827315160222208
"AT1G06850","AT3G15357",0.0825979958626433
"AT1G05710","AT3G15950",0.0823922186558046
"AT5G54680","AT1G31320",0.0823278999352119
"AT3G24140","AT3G60540",0.0822822227144708
"AT1G63650","AT1G60270",0.0822306847026842
"AT1G19490","AT1G60270",0.082227411395438
"AT5G54680","AT5G60890",0.0820538675844071
"AT3G24140","AT5G43020",0.0819972755842185
"AT3G24140","AT4G37390",0.0819084596326066
"AT4G35900","AT3G45730",0.0818045733458177
"AT5G08130","AT3G48260",0.0816979025163978
"AT3G19290","AT2G23348",0.0816066535694336
"AT1G69010","AT1G77450",0.0815744125941654
"AT1G35460","AT3G62090",0.081552842998469
"AT1G59640","AT1G73830",0.0815521514747323
"AT1G63650","AT3G09490",0.0813023973236415
"AT1G09530","AT2G23348",0.080949550015921
"AT5G08130","AT3G03590",0.0807344439995315
"AT2G31370","AT1G18400",0.0806246142547327
"AT5G24800","AT3G05800",0.0806078451834326
"AT1G51070","AT3G50850",0.0805893720643538
"AT3G24140","AT2G01430",0.08043003958185
"AT2G40620","AT1G13970",0.0802581932794317
"AT5G08130","AT2G39810",0.0800329336686314
"AT4G02640","AT3G09490",0.0795821073050487
"AT3G06590","AT3G04860",0.0795551345256022
"AT3G24140","AT1G33240",0.079553955309277
"AT1G22070","AT1G35430",0.0794699743045096
"AT5G24800","AT3G45680",0.0794159695755742
"AT2G42380","AT4G01670",0.0793461164161713
"AT4G14410","AT1G06620",0.0792803110802437
"AT3G54620","AT5G58770",0.0792542113965353
"AT4G34000","AT4G36060",0.0791280495198403
"AT5G08130","AT5G26200",0.0790950603654787
"AT3G57800","AT2G41070",0.0789217039107711
"AT4G00050","AT2G28260",0.0788472071680058
"AT2G41070","AT3G51750",0.0788253349842516
"AT5G54680","AT5G37055",0.0787322977439926
"AT1G32640","AT3G11840",0.0787159813366346
"AT5G50915","AT5G16340",0.0787094887523279
"AT1G03040","AT1G68650",0.0785680055654672
"AT5G53210","AT5G23820",0.0783574779679598
"AT3G23690","AT1G07740",0.078331234020125
"AT4G35040","AT1G77480",0.0783078375923212
"AT5G46760","AT2G26040",0.0782824553480695
"AT5G54680","AT1G75770",0.0781931037315997
"AT1G03970","AT4G30980",0.0780313039903313
"AT2G46270","AT1G65690",0.0778429468934207
"AT1G32640","AT4G28703",0.0777650432764409
"AT2G43010","AT1G27730",0.0776015010962009
"AT4G36540","AT1G78000",0.0775571246446447
"AT5G44080","AT5G39240",0.0775469427643604
"AT5G65210","AT5G51780",0.0773940400295799
"AT5G67110","AT3G15950",0.0772672185562895
"AT3G19860","AT1G73830",0.0771663957716144
"AT5G28770","AT5G03285",0.0771589270893749
"AT1G59640","AT4G35783",0.0771461655039726
"AT5G62610","AT5G58770",0.077094426766332
"AT1G10120","AT5G50240",0.0768073947397265
"AT3G61950","AT3G15420",0.0766156024386398
"AT2G46810","AT4G37390",0.0766065708855055
"AT2G31370","AT1G79410",0.0765431170210979
"AT2G42380","AT4G37390",0.0764916072794704
"AT3G24140","AT4G01670",0.0764700335518048
"AT1G06850","AT3G03170",0.0764090918243379
"AT5G08130","AT5G42440",0.0763112374344343
"AT3G24140","AT1G60200",0.0762192921217476
"AT4G35040","AT3G10330",0.0760359529825064
"AT5G65640","AT1G35430",0.0759094812827295
"AT4G34000","AT5G05250",0.0757781570779841
"AT4G02640","AT3G53450",0.0756268450816652
"AT4G36930","AT3G55240",0.0755813642484337
"AT5G57150","AT3G03170",0.0755742632247939
"AT5G54680","AT3G48260",0.0755439625288658
"AT2G31280","AT5G19875",0.0755402751148368
"AT5G08130","AT4G01670",0.0755355296560057
"AT4G29100","AT1G04635",0.0750345783622021
"AT1G51070","AT1G04635",0.0749071844190399
"AT2G46270","AT3G05800",0.0749007509769069
"AT5G54680","AT3G18970",0.0747829510135124
"AT1G12860","AT5G54300",0.0746282835138832
"AT2G18300","AT1G35430",0.074394011982073
"AT1G68810","AT3G55240",0.0742806125473957
"AT4G30980","AT4G11330",0.0742019303994683
"AT2G31280","AT4G31100",0.0741173608453845
"AT1G03040","AT3G15950",0.0741150899861236
"AT4G35040","AT3G25780",0.0740467285044565
"AT3G24140","AT3G55640",0.074045527000372
"AT3G25710","AT5G48540",0.074020255112788
"AT1G35460","AT3G25780",0.0740192607509654
"AT4G29100","AT5G03285",0.0739281813543651
"AT5G65640","AT1G16730",0.0735307658644535
"AT3G23690","AT5G16340",0.0734717322731849
"AT5G39860","AT4G31100",0.0734094110424299
"AT3G20640","AT2G23590",0.0733611545301632
"AT3G24140","AT3G49570",0.0733164676865108
"AT5G49450","AT1G68620",0.0733005178916567
"AT5G24800","AT3G15950",0.0732733967930373
"AT5G08130","AT3G57630",0.0732608862122849
"AT3G10800","AT1G44800",0.0732575635329345
"AT4G36540","AT2G01430",0.0730024901058293
"AT1G06070","AT1G64890",0.0729922986715629
"AT4G29100","AT1G53170",0.0729492447506662
"AT3G58120","AT5G10030",0.0729446374935573
"AT1G32640","AT3G53450",0.0728911646812323
"AT5G54680","AT3G02980",0.0728825440127145
"AT5G44080","AT5G07010",0.072856773729119
"AT1G01260","AT3G05800",0.0727770305582739
"AT1G03040","AT5G03285",0.072658494315982
"AT3G24140","AT3G02150",0.0726471075745029
"AT4G14410","AT1G04635",0.07264020852317
"AT3G24140","AT5G02810",0.0726391803049239
"AT4G35040","AT2G21640",0.0726159823720032
"AT1G03970","AT1G35430",0.072518467750771
"AT5G54680","AT1G71015",0.0725131047282618
"AT3G24140","AT5G10870",0.0725056565166323
"AT4G01120","AT2G45210",0.0724496317862709
"AT5G46760","AT1G15180",0.0724309601140565
"AT3G56850","AT5G04070",0.0724099741720791
"AT5G08130","AT4G15120",0.0723018228226978
"AT1G68920","AT2G28260",0.0722731382755701
"AT2G20180","AT1G09850",0.0722034068076988
"AT2G35530","AT2G01430",0.0721506803098968
"AT2G42300","AT3G14160",0.0721108116459498
"AT3G61950","AT1G54110",0.0720955271076905
"AT1G59640","AT1G33260",0.0720300736292145
"AT1G03040","AT2G22190",0.0719396605280599
"AT5G08130","AT2G35820",0.0719136045705146
"AT1G01260","AT4G39640",0.0718545990000236
"AT4G35040","AT4G38670",0.0718332344946656
"AT1G06070","AT5G59590",0.0716733861697043
"AT4G36730","AT5G59080",0.0716488770596124
"AT4G29100","AT1G15170",0.0713701413435977
"AT1G51070","AT1G74700",0.0713128820479809
"AT5G08130","AT4G14660",0.0713070628052945
"AT3G26744","AT5G07860",0.0712084118326641
"AT1G59640","AT2G23590",0.071167609616163
"AT1G61660","AT3G51750",0.071124686511765
"AT4G00050","AT3G55240",0.0708592961627515
"AT3G24140","AT5G67460",0.0707448183647291
"AT3G24140","AT1G09486",0.0704446421330388
"AT3G59060","AT5G61270",0.0704183966966838
"AT3G24140","AT1G14360",0.0703796254831437
"AT1G06070","AT4G28703",0.0703500952480282
"AT3G24140","AT1G69040",0.070337845347757
"AT3G24140","AT4G32295",0.0703058128944953
"AT4G30410","AT3G48260",0.0702474885644552
"AT3G24140","AT1G05710",0.0700212362476157
"AT5G06950","AT2G22470",0.0699465243166495
"AT1G10120","AT4G39640",0.06994130529976
"AT2G27230","AT3G50850",0.0699232818920616
"AT3G06590","AT2G24260",0.0699197829016042
"AT2G24260","AT4G01670",0.069901429989885
"AT5G08130","AT1G20490",0.0698059960231285
"AT5G28770","AT1G27730",0.0696818041488737
"AT5G44080","AT1G06620",0.069511259573941
"AT4G00050","AT3G44320",0.0695078375567638
"AT2G35530","AT4G29540",0.0694969643669486
"AT2G31280","AT5G16340",0.069392514125067
"AT2G31370","AT2G26040",0.0692678891139112
"AT5G06960","AT5G59080",0.069215037959559
"AT1G49720","AT2G22770",0.0691227722854356
"AT5G08130","AT4G02360",0.0691083663601331
"AT1G29950","AT3G18950",0.0690954613785939
"AT1G26260","AT5G59080",0.069088604232674
"AT5G54680","AT1G68650",0.0690885088951716
"AT1G26260","AT5G07250",0.0689565073752092
"AT5G08130","AT3G23570",0.0689409798447112
"AT2G35530","AT2G21640",0.0689080301464516
"AT5G38860","AT4G11330",0.0688516729527028
"AT5G46760","AT3G49570",0.0687672399792785
"AT2G42300","AT4G14600",0.0687276398379951
"AT3G07340","AT4G20362",0.0687103885959884
"AT4G34000","AT1G74700",0.0685822100586569
"AT4G35040","AT3G04620",0.0685397253317146
"AT2G22850","AT3G20340",0.0685206648096428
"AT1G09530","AT5G15160",0.068351147167449
"AT3G07340","AT4G30180",0.0683063617592065
"AT1G06070","AT2G01430",0.0682324164738741
"AT3G17100","AT2G14850",0.0682104316919769
"AT5G24800","AT4G01670",0.0681852951707398
"AT5G54680","AT1G05785",0.0679940279424371
"AT3G47640","AT5G17650",0.0679319873729997
"AT5G54680","AT3G48350",0.0679281452104109
"AT1G42990","AT5G39240",0.0678329483251501
"AT2G42300","AT4G02360",0.0678166828388914
"AT3G24140","AT1G65040",0.0678126727781828
"AT3G24140","AT3G22380",0.067585616259858
"AT3G10800","AT3G45680",0.0675837988046449
"AT4G36540","AT4G36060",0.0675806139625248
"AT1G10120","AT4G15140",0.0675759827603403
"AT4G30410","AT1G64200",0.0674247621875337
"AT4G30980","AT1G75770",0.0673523913999119
"AT3G07340","AT5G15190",0.0670975181829907
"AT5G08130","AT3G04860",0.0669378422497343
"AT2G42280","AT5G59080",0.0668482019565405
"AT1G42990","AT1G68620",0.0668478780940246
"AT3G56850","AT1G79410",0.0667927711379471
"AT3G24140","AT2G22730",0.066683515582776
"AT2G16770","AT5G18170",0.0666176845791229
"AT3G17100","AT3G06868",0.0665870241245871
"AT2G43060","AT2G37750",0.0664149931262538
"AT3G24140","AT1G77920",0.0663917566034478
"AT1G06070","AT1G65690",0.0663011439174946
"AT1G06070","AT2G21640",0.0662201875973311
"AT2G31280","AT1G27730",0.0662198778312397
"AT2G27230","AT5G17650",0.066162113600856
"AT3G06590","AT5G39240",0.0661235877922623
"AT2G22850","AT5G17650",0.0660750822793997
"AT5G08130","AT2G40860",0.0660407408574897
"AT5G08130","AT2G31730",0.0660299497096828
"AT4G38900","AT5G56100",0.0659976714624432
"AT3G24140","AT2G14740",0.0659610839183391
"AT5G54680","AT1G11220",0.0659472604405839
"AT3G24140","AT4G03420",0.065904367009548
"AT1G02340","AT3G28740",0.0657398795338671
"AT1G06070","AT2G29070",0.0656209371170993
"AT2G27230","AT3G15950",0.0655910533896869
"AT5G08130","AT5G43260",0.0655453940766705
"AT2G20180","AT3G60540",0.0654755330507328
"AT3G24140","AT4G36980",0.0654557970725181
"AT1G01260","AT1G09486",0.0654167441798386
"AT4G30410","AT3G28740",0.065407659658026
"AT4G35040","AT1G55820",0.0654000828801894
"AT1G06850","AT2G21080",0.0653566746286328
"AT1G06850","AT5G58770",0.0652375287678108
"AT3G19860","AT5G51790",0.0651845101873118
"AT5G06960","AT3G05160",0.0651654497273506
"AT5G54680","AT3G22450",0.0651451887528584
"AT1G51070","AT5G42440",0.0651390478312752
"AT1G05710","AT1G72210",0.0651323473310982
"AT2G20180","AT2G35170",0.0650859256882441
"AT1G05805","AT4G30180",0.0650712145859138
"AT5G44080","AT2G42940",0.0648662030011547
"AT2G20180","AT5G60890",0.0647617472294103
"AT5G54680","AT1G78895",0.0647438014627847
"AT1G06070","AT3G09490",0.0645790540449844
"AT1G01260","AT4G31100",0.0645740106895925
"AT3G05800","AT3G58980",0.0645167129387513
"AT5G46760","AT3G03320",0.0644642835495853
"AT1G10120","AT3G48260",0.0644415107826779
"AT1G26260","AT5G04620",0.0643573801682574
"AT4G30410","AT5G51780",0.0643143009594233
"AT4G00050","AT4G17500",0.0642958787980507
"AT3G17100","AT1G30260",0.0642680132410478
"AT3G57800","AT5G51790",0.0642347153288947
"AT3G57800","AT1G77290",0.0641852081760948
"AT2G42380","AT5G51790",0.0641520153913079
"AT1G12860","AT1G74490",0.0640937846320773
"AT4G29100","AT1G16590",0.0640528239907319
"AT5G57150","AT3G21870",0.0640407500545269
"AT5G08130","AT1G33240",0.06402124537337
"AT4G34000","AT3G18950",0.0639018139014323
